output_dir,method,epsilon,seed,learning_rate,batch_size,epochs_config,epochs_completed,final_dice,best_dice,final_val_loss,final_train_loss,status
brats_dp_synthetic_eps1.0_20260215_011509,dp_synthetic,1.0,42,0.01,8,10,10,0.6131942868232727,0.6131942868232727,0.43833366829030057,0.42326984672169937,Complete
brats_dp_synthetic_eps1.0_20260215_044728,dp_synthetic,1.0,42,0.01,8,10,10,0.613187849521637,0.613187849521637,0.4383344574177519,0.4232709942231501,Complete
brats_dp_synthetic_eps1.0_20260215_082611,dp_synthetic,1.0,123,0.01,8,10,10,0.6318992376327515,0.632535457611084,0.4322187044519059,0.42631661146879196,Complete
brats_dp_synthetic_eps1.0_20260215_115653,dp_synthetic,1.0,123,0.01,8,10,10,0.6318809390068054,0.6324946284294128,0.4322212756948268,0.42631922342947554,Complete
brats_dp_synthetic_eps1.0_20260215_152344,dp_synthetic,1.0,456,0.01,8,10,10,0.6579249501228333,0.6579249501228333,0.4237855725148891,0.42122911227712956,Complete
brats_dp_synthetic_eps2.0_20260215_185845,dp_synthetic,2.0,42,0.01,8,10,10,0.646923303604126,0.646923303604126,0.4313629282281754,0.4153056397922057,Complete
brats_dp_synthetic_eps2.0_20260215_224603,dp_synthetic,2.0,123,0.01,8,10,10,0.6614044904708862,0.6614044904708862,0.4270417980374174,0.4217476864954583,Complete
brats_dp_synthetic_eps2.0_20260216_021757,dp_synthetic,2.0,456,0.01,8,10,10,0.692570686340332,0.692570686340332,0.41746118331843235,0.4148452411076628,Complete
brats_dp_synthetic_eps4.0_20260216_054525,dp_synthetic,4.0,42,0.01,8,10,10,0.6702197194099426,0.6702197194099426,0.4266595589987775,0.410692799948436,Complete
brats_dp_synthetic_eps4.0_20260216_091524,dp_synthetic,4.0,42,0.01,8,10,10,0.6702563762664795,0.6702563762664795,0.4266534463522282,0.4106897189092815,Complete
brats_dp_synthetic_eps4.0_20260216_125338,dp_synthetic,4.0,42,0.01,8,10,10,0.6702437400817871,0.6702437400817871,0.426655815953904,0.410691581442392,Complete
brats_dp_synthetic_eps4.0_20260216_161714,dp_synthetic,4.0,123,0.01,8,10,0,N/A,N/A,N/A,N/A,Running
brats_baseline_20260211_163101,baseline,8.0,42,0.001,8,10,0,N/A,N/A,N/A,N/A,Running
brats_baseline_20260214_193328,baseline,8.0,123,0.001,8,10,10,0.5432694554328918,0.5442216396331787,0.47554141695195057,0.4727556414734152,Complete
brats_dp_public_eps8.0_20260212_182454,dp_public,8.0,123,0.01,8,10,10,0.7234647274017334,0.7234647274017334,0.4118852515486961,0.40554909360476005,Complete
brats_dp_public_eps8.0_20260213_113430,dp_public,8.0,456,0.01,8,10,10,0.7459915280342102,0.7459915280342102,0.4063163661259286,0.40291104062383337,Complete
brats_dp_shampoo_eps8.0_20260213_151233,dp_shampoo,8.0,42,0.01,8,10,10,0.7095546722412109,0.7096759676933289,0.4230077472773004,0.4054432063734621,Complete
brats_dp_shampoo_eps8.0_20260213_185607,dp_shampoo,8.0,42,0.01,8,10,10,0.7095263600349426,0.7096552848815918,0.4229995332499768,0.4054422826415166,Complete
brats_dp_shampoo_eps8.0_20260213_222335,dp_shampoo,8.0,42,0.01,8,10,10,0.7095448970794678,0.7096678614616394,0.42300450389689587,0.4054409298849733,Complete
brats_dp_shampoo_eps8.0_20260214_015525,dp_shampoo,8.0,123,0.01,8,10,10,0.7621021866798401,0.7621021866798401,0.40771369160489834,0.4030807794708955,Complete
brats_dp_shampoo_eps8.0_20260214_052700,dp_shampoo,8.0,456,0.01,8,10,10,0.7640298008918762,0.7640298008918762,0.40630370901620133,0.4024686672465694,Complete
brats_dp_shampoo_synth_eps8.0_20260214_090256,dp_shampoo_synth,8.0,42,0.01,8,10,10,0.720296323299408,0.7210201621055603,0.4208821235819066,0.4033788842590232,Complete
brats_dp_shampoo_synth_eps8.0_20260214_123548,dp_shampoo_synth,8.0,123,0.01,8,10,10,0.75994473695755,0.75994473695755,0.40846227426478204,0.40336045905723605,Complete
brats_dp_shampoo_synth_eps8.0_20260214_160104,dp_shampoo_synth,8.0,456,0.01,8,10,10,0.7542865872383118,0.7542865872383118,0.40935054088526585,0.40396445213740034,Complete
brats_dp_synthetic_eps8.0_20260212_123242,dp_synthetic,8.0,456,0.01,8,10,10,0.7433464527130127,0.7433464527130127,0.4067266621488206,0.40344570736799923,Complete
brats_dp_synthetic_eps8.0_20260212_150908,dp_synthetic,8.0,456,0.01,8,10,10,0.7433616518974304,0.7433616518974304,0.4067251065627058,0.403444821981335,Complete
